ImageFilename,Location,Category,Priority,Notes
IMG20260525103555.jpg,Scheme Driveway,Signage,Informational,New signed errected notifying residents and guests to not park on the grassed areas
IMG20260525103722.jpg,Scheme Driveway,Signage,Informational,New signed errected notifying residents and guests to not park on the grassed areas
IMG20260525103756.jpg,Scheme Driveway,Signage,Informational,5 km speed sign
IMG20260525103805.jpg,Scheme Driveway,Signage,Low,"Incorrect information, scheme is not a retirement village and has never been registered as one"
IMG20260525103817.jpg,Scheme Driveway,Signage,Informational,5 km speed sign
IMG20260525132151.jpg,Main Building,Pathway,High,"Movement cracks to entry path, residents and guests have started to trip. Committee notified 1 May 2026, awaiting response"
IMG20260525132227.jpg,Building A,Pathway,Low,"Movement cracks evident to path, mud around retaining wall from rains 18 May 2026"
IMG20260525132254.jpg,Building A,Clothesline,High,"Due to soil erosion ground is uneven, while hanging out washing a resident has lost footing and fallen recently."
IMG20260525132301.jpg,Building A,Grounds,High,Abandoned irrigation piping is exposed potential trip hazard
IMG20260525132318.jpg,Building A,Grounds,High,"Soil erosion results in protruded concrete edge, trip hazard"
IMG20260525132323.jpg,Building A,Infrastructure,High,Green cable insulation protruding from dirt
IMG20260525132332.jpg,Building A,Storm Water,Moderate,Flex downpipe cracked
IMG20260525132613.jpg,Building A & Building B,Storm Water,Low,Incomplete work
IMG20260525132616.jpg,Building A,Sewerage,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard"
IMG20260525132645.jpg,Building B,Infrastructure,High,"Flex downpipe cracked. Bolted Screw Cap protruding due to soil erosion, trip hazard"
IMG20260525132700.jpg,Building A & Building B,Grounds,Low,"Large trees overhang roof to both blocks, arborist required to attend to trim back to minimise gutter debris"
IMG20260525132712.jpg,Building B,Infrastructure,Low,"Patio concrete showing evidence of water pooling, this can impact structural intergrity of the slab if unattended"
IMG20260525132717.jpg,Building B,Foundation,Moderate,Patio concrete cracking at base of post
IMG20260525132726.jpg,Building B,Sewerage,Moderate,"Bolted Screw Cap missing, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525132731.jpg,Building B,Sewerage,Moderate,"Bolted Screw Cap missing, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525132741.jpg,Building B,Infrastructure,Low,Waste water pipe cover broken
IMG20260525132744.jpg,Building B,Infrastructure,Moderate,Flex downpipe cracked
IMG20260525132802.jpg,Building B,Foundation,Moderate,Patio concrete cracking at base of post
IMG20260525132809.jpg,Building B,Foundation,Moderate,Patio concrete cracking at base of post
IMG20260525132821.jpg,Building C,Infrastructure,Low,Presence of algae is evidence of water pooling
IMG20260525132824.jpg,Building C,Grounds,Moderate,Protruding storm water access point
IMG20260525132829.jpg,Building C,Infrastructure,Moderate,"Flex downpipe cracked, Patio concrete cracking at base of post"
IMG20260525132831.jpg,Building C,Sewerage,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard"
IMG20260525132843.jpg,Building C,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below"
IMG20260525132847.jpg,Building C,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below"
IMG20260525132917.jpg,Building C & Building D,Sewerage,Low,Bolted Screw cover cracked
IMG20260525132922.jpg,Building C & Building D,Sewerage,Low,Bolted Screw cover cracked
IMG20260525132925.jpg,Building D,Infrastructure,Moderate,"Flex downpipe broken, evidence of algae to lattice and waste drain"
IMG20260525132949.jpg,Building D,Infrastructure,Moderate,Flex downpipe broken
IMG20260525133008.jpg,Building D,Sewerage,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard"
IMG20260525133108.jpg,Building D,Foundation,Moderate,"Patio concrete cracking at base of post, Algae build up present on concrete and lattice"
IMG20260525133110.jpg,Building D,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking evidence integrity already compromised"
IMG20260525133124.jpg,Building D,Infrastructure,High,"Mould sited to eaves, tenant from Unit 14 advised mould present inside bathroom"
IMG20260525133206.jpg,Building D,Infrastructure,Low,Gutter debris visible from ground
IMG20260525133253.jpg,Building D,Infrastructure,Moderate,"Mould sited to eaves, tenant from Unit 14 advised mould present inside bathroom"
IMG20260525133516.jpg,Building D,Infrastructure,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard. Algae evident to slab and lattice"
IMG20260525133555.jpg,Building D,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking evidence integrity already compromised"
IMG20260525133559.jpg,Building D,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking evidence integrity already compromised. Algae present to slab and lattice"
IMG20260525133605.jpg,Building D,Storm Water,Moderate,Algae buildup to exterior of downpipe indicating high moisture levels
IMG20260525133610.jpg,Building D & Building E,Sewerage,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard. "
IMG20260525133617.jpg,Building D & Building E,Sewerage,Moderate,Bolted Screw cover broken
IMG20260417083418.jpg,Building D & Building E,Pathway,Critical,Soil erosion has washed out underneath path. This has resulted in a drop off from footpath on both sides.
IMG20260417083409.jpg,Building D & Building E,Pathway,Critical,Soil erosion has washed out underneath path. This has resulted in a drop off from footpath on both sides.
IMG20260417083441.jpg,Building D & Building E,Pathway,Critical,Soil erosion has washed out underneath path. This has resulted in a drop off from footpath on both sides.
IMG20260525133623.jpg,Building D,Foundation,High,"Soil erosion exposing slab over pour, evidence of erosion under concrete, potential for water to enter under slab and degrade integrity from below."
IMG20260525133631.jpg,Building E,Sewerage,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard. "
IMG20260525133637.jpg,Building E,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Algae evident to waste water and slab."
IMG20260525133640.jpg,Building E,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below"
IMG20260525133654.jpg,Building E,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below"
IMG20260525133709.jpg,Building E,Storm Water,Moderate,Algae buildup to exterior of downpipe indicating high moisture levels
IMG20260525133712.jpg,Building E,Sewerage,High,"Bolted Screw Cap protruding due to soil erosion, trip hazard. "
IMG20260525133719.jpg,Building F,Storm Water,Moderate,Flex downpipe broken
IMG20260525133725.jpg,Building F,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking evidence integrity already compromised"
IMG20260525133732.jpg,Building F,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking evidence integrity already compromised"
IMG20260525133745.jpg,Building F,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking evidence integrity already compromised. Algae present to slab and lattice"
IMG20260525133759.jpg,Building F,Sewerage,Moderate,"Bolted Screw Cap missing, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525133805.jpg,Building E & Building F,Grounds,Moderate,"Large trees overhang roof to both blocks, arborist required to attend to trim back to minimise gutter debris. Leave debris to gutters vivisble from ground"
IMG20260525133808.jpg,Building E & Building F,Grounds,High,"Erosion of soil has caused grounds to be uneven and expose slabs, extensive top soil replacement required"
IMG20260525133811.jpg,Building F,Sewerage,Moderate,"Bolted Screw Cap missing, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525133813.jpg,Building F,Storm Water,Low,Waste water pipe cover broken
IMG20260525133819.jpg,Building F,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525133827.jpg,Building F,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525133848.jpg,Building F,Storm Water,Moderate,Flex downpipe broken
IMG20260525133853.jpg,Building F,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below"
IMG20260525133909.jpg,Building G,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Algae present to slab"
IMG20260525133914.jpg,Building G,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Algae present to slab"
IMG20260525133918.jpg,Building G,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525133922.jpg,Building G,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525133933.jpg,Building F,Storm Water,Low,"Storm water flex pipe exposed in garden bed and is visible broken, potential further issues of storm water infrastructure blockacges due to debris"
IMG20260525133948.jpg,Building G,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525133950.jpg,Building G,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525133951.jpg,Building G,Foundation,High,"Soil erosion exposing unit patio slab, potential for water to enter under slab and degrade integrity from below. Cracking evidence integrity already compromised"
IMG20260525134014.jpg,Building G,Electrical,High,Conduit for electrical wiring separated and exposed to elements
IMG20260525134018.jpg,Building G,Foundation,High,Soil erosion exposing slab over pour.
IMG20260525134024.jpg,Building G,Storm Water,Moderate,Flex downpipe broken
IMG20260525134037.jpg,Building I,Storm Water,Moderate,Flex downpipe broken
IMG20260525134040.jpg,Building I,Foundation,High,Soil erosion exposing slab. Cracking to base of post.
IMG20260525134041.jpg,Building I,Foundation,High,Soil erosion exposing slab. Cracking to base of post.
IMG20260525134049.jpg,Building G,"Storm Water, Foundation",High,"Flex downpipe broken, Soil erosion exposing slab over pour."
IMG20260525134054.jpg,Building G,"Storm Water, Foundation, Sewerage",High,"Flex downpipe broken, Soil erosion exposing slab over pour. Bolted Screw Cap protruding due to soil erosion, trip hazard. "
IMG20260525134130.jpg,Building G,Sewerage,Moderate,"Bolted Screw Cap missing, potential for extensive damage to plumbing infrastructure from animal or debris entering sewer system"
IMG20260525134132.jpg,Building G,"Storm Water, Foundation",Moderate,"Flex downpipe deteriorated, algae build up present. Cracks to concrete slab at base of post."
IMG20260525134142.jpg,Building G,Storm Water,Moderate,Presence of algae is evidence of water pooling
IMG20260525134147.jpg,Building G,Water Supply,Low,Tap appeared to have slow leak
IMG20260525134324.jpg,Building G,Foundation,Low,Slab has mulitple cracks near posts
